"Data Source","Type","Full Object Name","Object Name","Owner","Modified Date","Attributes","Entity Sources","Residencies","PII Count","Open Access","Number of Entities"
"SAS Workspaces (DataScience)","file","Workspaces/Shared\DM\Analysis\20190610_CA_DEEPDIVE/CA Strategy 20190619 v01.pptx","CA Strategy 20190619 v01.pptx","S-1-5-21-498304819-3224205621-3506385323-20831","2020-09-28 20:21:57.889","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\Returning_customer_loss_curve/summarization_return_customer.xlsx","summarization_return_customer.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.241","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\Returning_customer_loss_curve/returningcustomerperformance_v3.pptx","returningcustomerperformance_v3.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.239","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\Returning_customer_loss_curve/returningcustomerperformance_v2.pptx","returningcustomerperformance_v2.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.239","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\Returning_customer_loss_curve/performance.xlsx","performance.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.235","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\Greg/NPV Based DM Selection Strategy V5.pptx","NPV Based DM Selection Strategy V5.pptx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.162","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\YonghuaJiang\202005/Distribution 201908.xlsx","Distribution 201908.xlsx","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.104","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\PiyushSharma\v10_input_varqc/variableqc.ipynb","variableqc.ipynb","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:28.063","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\PiyushSharma\s3notebook2/ads9_validation-ads10_shadow-production.ipynb","ads9_validation-ads10_shadow-production.ipynb","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:27.441","[classifier.Oportun SSN]",,,1,"No",
"SAS Workspaces (DataScience)","file","Workspaces/Shared\Data_Science\PiyushSharma\s3notebook/ads9_validation.ipynb","ads9_validation.ipynb","S-1-5-21-498304819-3224205621-3506385323-12592","2020-09-18 18:54:27.386","[classifier.Oportun SSN]",,,1,"No",
